musicId,title,type,writer,composer,producer,genre,artist,album,releaseDate,src,duration,language,likes,downloads,lyrics,label,playCount,musicMood,storageTime,id,dramatic,aggressive,romantic,happy,sad,user_id,checkin_emotion_value,positive,negative,music_path
86,孙燕姿 - 我怀念的.mp3,normal,,,,POP,,,,test/孙燕姿 - 我怀念的.mp3,0,,0,0,,,0,,2023-12-19T21:28:21,6592abec3713042ee2067c50,0.91823655,0.0054788697,0.00025074012,0.011773126,0.064260654,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\86.wav
86,孙燕姿 - 我怀念的.mp3,normal,,,,POP,,,,test/孙燕姿 - 我怀念的.mp3,0,,0,0,,,0,,2023-12-19T21:28:21,6592abec3713042ee2067c51,0.16065034,0.008120683,0.32102296,0.05507521,0.45513088,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\86.wav
87,小瀬村晶 - Summer Ghost.mp3,normal,,,,INSTRUMENTAL,,,,test/小瀬村晶 - Summer Ghost.mp3,0,,0,0,,,0,,2023-12-19T21:28:50,6592abec3713042ee2067c54,0.08900852,0.06929672,0.7644582,0.018096989,0.059139628,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\87.wav
88,"小田音乐社,栗男 - 戏人妾.mp3",normal,,,,POP,,,,"test/小田音乐社,栗男 - 戏人妾.mp3",0,,0,0,,,0,,2023-12-19T21:29:15,6592abec3713042ee2067c55,0.0062867734,0.0008239279,0.070013836,0.0006218213,0.92225367,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\88.wav
89,蔡卓妍 - 二缺一.mp3,normal,,,,POP,,,,test/蔡卓妍 - 二缺一.mp3,215,Cantonnese,0,0,,,0,,2023-12-19T21:29:17,6592abed3713042ee2067c6a,0.016824698,0.008552765,0.03524455,0.92833894,0.011039089,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\89.wav
90,徐佳莹 - 喜欢你.mp3,normal,,,,POP,,,,test/徐佳莹 - 喜欢你.mp3,0,,0,0,,,0,,2023-12-19T21:29:30,6592abec3713042ee2067c5a,0.1794425,0.017215816,0.24365,0.13866313,0.42102855,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\90.wav
91,徐良 - 北京巷弄.mp3,normal,,,,POP,,,,test/徐良 - 北京巷弄.mp3,0,,0,0,,,0,,2023-12-19T21:29:45,6592abec3713042ee2067c5c,2.4893698e-12,0.9998882,0.000110873705,9.085185e-07,9.053959e-11,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\91.wav
92,徐良 - 今天见了前女友.mp3,normal,,,,POP,,,,test/徐良 - 今天见了前女友.mp3,0,,0,0,,,0,,2023-12-19T21:30:09,6592abec3713042ee2067c5b,5.890912e-08,2.1772731e-10,0.9999716,2.8363345e-05,9.483168e-10,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\92.wav
93,徐良 - 美瞳.mp3,normal,,,,POP,,,,test/徐良 - 美瞳.mp3,0,,0,0,,,0,,2023-12-19T21:30:23,6592abed3713042ee2067c5d,0.94988143,0.0050759697,0.036202904,0.008137096,0.0007026683,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\93.wav
94,徐良 - 那时雨.mp3,normal,,,,POP,,,,test/徐良 - 那时雨.mp3,0,,0,0,,,0,,2023-12-19T21:30:47,6592abed3713042ee2067c5e,0.008618802,0.0016858886,0.077886336,0.9109353,0.00087368046,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\94.wav
95,"徐良,阿悄 - 月光.mp3",normal,,,,POP,,,,"test/徐良,阿悄 - 月光.mp3",0,,0,0,,,0,,2023-12-19T21:31:03,6592abed3713042ee2067c61,7.718385e-05,0.007994432,0.0024877635,0.9893993,4.1231197e-05,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\95.wav
96,"徐良,孙羽幽 - 七秒钟的记忆.mp3",normal,,,,POP,,,,"test/徐良,孙羽幽 - 七秒钟的记忆.mp3",0,,0,0,,,0,,2023-12-19T21:31:19,6592abed3713042ee2067c60,1.3382484e-08,0.9977852,0.0022038554,1.0994614e-05,3.8689796e-10,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\96.wav
97,于文文 - 何必.mp3,normal,,,,POP,,,,test/于文文 - 何必.mp3,0,,0,0,,,0,,2023-12-19T21:31:39,6592abeb3713042ee2067c3e,0.15298033,0.022730613,0.2168975,0.31619254,0.29119894,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\97.wav
98,于文文 - 体面 (Live).mp3,normal,,,,POP,,,,test/于文文 - 体面 (Live).mp3,0,,0,0,,,0,,2023-12-19T21:31:54,6592abeb3713042ee2067c3d,0.069017254,0.003654326,0.036520414,0.88511187,0.005696195,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\98.wav
99,"御鹿神谷,江苹果 - 孤星祭.mp3",normal,,,,POP,,,,"test/御鹿神谷,江苹果 - 孤星祭.mp3",0,,0,0,,,0,,2023-12-19T21:32:29,6592abed3713042ee2067c62,0.049175344,0.014335049,0.6957197,0.0023536263,0.23841627,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\99.wav
100,"御鹿神谷,江苹果 - 山眠.mp3",normal,,,,POP,,,,"test/御鹿神谷,江苹果 - 山眠.mp3",0,,0,0,,,0,,2023-12-19T21:32:46,6592abed3713042ee2067c63,0.037328176,0.011085476,0.6314769,0.033099487,0.2870099,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\100.wav
101,"张碧晨,王赫野 - 字字句句 (Live版).mp3",normal,,,,POP,,,,"test/张碧晨,王赫野 - 字字句句 (Live版).mp3",0,,0,0,,,0,,2023-12-19T21:33:07,6592abec3713042ee2067c57,0.0065263505,0.09290675,0.8342996,0.031932104,0.03433515,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\101.wav
102,周传雄 - 冬天的秘密.mp3,normal,,,,POP,,,,test/周传雄 - 冬天的秘密.mp3,0,,0,0,,,0,,2023-12-19T21:33:28,6592abeb3713042ee2067c49,0.9368207,0.044164848,9.2391994e-05,0.014040026,0.004882125,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\102.wav
